speakerGender,object,workerid,utterance,slide_number_in_experiment,Word,content,speakerName,response,exp,rt,Answer.time_in_minutes
F,,49,Is Mary's aunt sick?,17,,Mary's aunt is sick,Helen,0.69,control,3019,5.323366666666667
M,,49,Is Andrew surprised that Mia drank 2 cocktails last night?,18,surprise,Mia drank 2 cocktails last night,Kenneth,0.8,stim,1592,5.323366666666667
M,,49,Did Kaitlin pray that Dylan argued with his parents?,19,pray,Dylan argued with his parents,Robert,0.28,stim,1719,5.323366666666667
F,,49,Is Zack coming to the meeting tomorrow?,20,,Zack is coming to the meeting tomorrow,Michelle,0.69,control,1700,5.323366666666667
F,,49,Is Ben amused that Zoe calculated the tip?,21,amuse,Zoe calculated the tip,Dorothy,0.23,stim,1979,5.323366666666667
F,,49,Is Eli distressed that Olivia left her job?,22,distress,Olivia left her job,Susan,0.76,stim,1508,5.323366666666667
F,,49,Did Nicole express that Josh learned to ride a bike yesterday?,23,express,Josh learned to ride a bike yesterday,Nancy,0.08,stim,1411,5.323366666666667
F,,49,Did Colby bet that Audrey went to a party?,24,bet,Audrey went to a party,Jessica,0.85,stim,1423,5.323366666666667
F,,49,Did Madison have a baby?,25,,Madison had a baby,Donna,0.17,control,1378,5.323366666666667
F,,49,Is Vanessa good at math?,26,,Vanessa is good at math,Margaret,0.66,control,1427,5.323366666666667
F,,49,Did Todd play football in high school?,27,,Todd played football in high school,Ashley,0.23,control,1491,5.323366666666667
F,,49,Did Regina anticipate that Jayden rented a car?,28,anticipate,Jayden rented a car,Jennifer,0.7,stim,1321,5.323366666666667
M,,49,Did Anna think that Frank got a cat?,29,think,Frank got a cat,David,0.23,stim,1439,5.323366666666667
M,,49,Was Hendrick's car expensive?,30,,Hendrick's car was expensive,Matthew,0.76,control,1600,5.323366666666667
M,,49,Did Noah ignore that Courtney woke up early yesterday?,31,ignore,Courtney woke up early yesterday,James,0.22,stim,2639,5.323366666666667
F,,49,Did Heather joke that Charley spilled the wine?,32,joke,Charley spilled the wine,Karen,0.79,stim,2222,5.323366666666667
M,,49,Is Catherine offended that Jackson ran 10 miles?,33,offend,Jackson ran 10 miles,George,0.26,stim,2847,5.323366666666667
M,,49,Did Scott feel that Emily bought a car yesterday?,34,feel,Emily bought a car yesterday,Mark,0.17,stim,2299,5.323366666666667
M,,49,Is Brenda excited that Allen went to the museum?,35,excite,Allen went to the museum,Christopher,0.79,stim,1700,5.323366666666667
,Jennifer,50,bot_check,1,,,,Jennifer,,0,4.2919833333333335
M,,50,Did Stephanie weep that Jason made a cake?,3,weep,Jason made a cake,David,0.89,stim,7680,4.2919833333333335
M,,50,Is Amanda tortured that Fred missed the train?,4,torture,Fred missed the train,Kenneth,0.84,stim,8396,4.2919833333333335
F,,50,Did Catherine murmur that Dylan argued with his parents?,5,murmur,Dylan argued with his parents,Linda,0.85,stim,6193,4.2919833333333335
F,,50,Did Brian express that Hannah called her parents?,6,express,Hannah called her parents,Donna,0.9,stim,7000,4.2919833333333335
M,,50,Did Brenda argue that Jayden rented a car?,7,argue,Jayden rented a car,James,0.88,stim,22167,4.2919833333333335
F,,50,Is Shirley irritated that Charley spilled the wine?,8,irritate,Charley spilled the wine,Jessica,0.93,stim,4531,4.2919833333333335
F,,50,Did Patrick tweet that Zoe calculated the tip?,9,tweet,Zoe calculated the tip,Margaret,0.82,stim,5314,4.2919833333333335
F,,50,Did Rebecca cringe that Tony had a drink last night?,10,cringe,Tony had a drink last night,Kimberly,0.96,stim,5321,4.2919833333333335
F,,50,Did Amy verify that Lucas bought new shoes?,11,verify,Lucas bought new shoes,Jennifer,0.39,stim,6617,4.2919833333333335
M,,50,Is Noah offended that Molly attended a conference last week?,12,offend,Molly attended a conference last week,George,0.87,stim,25481,4.2919833333333335
F,,50,Is Zack coming to the meeting tomorrow?,13,,Zack is coming to the meeting tomorrow,Nancy,0,control,9054,4.2919833333333335
F,,50,Is Jerry troubled that Sophia got a tattoo?,14,trouble,Sophia got a tattoo,Michelle,0.89,stim,4641,4.2919833333333335
F,,50,Is Andrew shocked that Danielle painted her room?,15,shock,Danielle painted her room,Karen,0.94,stim,3235,4.2919833333333335
F,,50,Did Eli enjoy that Grace visited her sister?,16,enjoy,Grace visited her sister,Sarah,0.89,stim,5866,4.2919833333333335
M,,50,Did Alan pray that Valerie booked the venue?,17,pray,Valerie booked the venue,Christopher,0.31,stim,9476,4.2919833333333335
F,,50,Did Scott require that Mia drank 2 cocktails last night?,18,require,Mia drank 2 cocktails last night,Betty,0.92,stim,4758,4.2919833333333335
F,,50,Did Manuel joke that Audrey went to a party?,19,joke,Audrey went to a party,Elizabeth,0.19,stim,6452,4.2919833333333335
M,,50,Did Madison have a baby?,20,,Madison had a baby,Thomas,0.03,control,3472,4.2919833333333335
M,,50,Did Dennis whine that Isabella ate a steak on Sunday?,21,whine,Isabella ate a steak on Sunday,Mark,0.9,stim,6005,4.2919833333333335
M,,50,Is Vanessa good at math?,22,,Vanessa is good at math,Steven,0.02,control,3239,4.2919833333333335
M,,50,Did Todd play football in high school?,23,,Todd played football in high school,Robert,0.01,control,5196,4.2919833333333335
M,,50,Did Laura envision that Connor fell from a tree?,24,envision,Connor fell from a tree,Matthew,0.2,stim,5668,4.2919833333333335
F,,50,Did Ben testify that Emilia looked after the kids?,25,testify,Emilia looked after the kids,Dorothy,0.29,stim,5221,4.2919833333333335
F,,50,Was Hendrick's car expensive?,26,,Hendrick's car was expensive,Carol,0.04,control,5182,4.2919833333333335
F,,50,Is Bobby excited that Natasha got a promotion?,27,excite,Natasha got a promotion,Susan,0.83,stim,4506,4.2919833333333335
M,,50,Did Ruth elaborate that Jackson ran 10 miles?,28,elaborate,Jackson ran 10 miles,Paul,0.74,stim,4712,4.2919833333333335
M,,50,Is Mary's aunt sick?,29,,Mary's aunt is sick,William,0.05,control,4899,4.2919833333333335
F,,50,Is Justin charmed that Josie went on vacation to France?,30,charm,Josie went on vacation to France,Lisa,0.85,stim,6828,4.2919833333333335
F,,50,Did Anna expose that Cole celebrated his friend's birthday?,31,expose,Cole celebrated his friend's birthday,Ashley,0.84,stim,4436,4.2919833333333335
F,,50,Is Melissa promised that Julian cleaned his room?,32,promise,Julian cleaned his room,Sandra,0.34,stim,8364,4.2919833333333335
M,,50,Is Kaitlin fascinated that Owen shoveled snow last winter?,33,facinate,Owen shoveled snow last winter,Logan,0.81,stim,6052,4.2919833333333335
M,,50,Did Sharon suppose that Allen went to the museum?,34,suppose,Allen went to the museum,Richard,0.32,stim,5566,4.2919833333333335
F,,50,Did Tim resent that Emma studied on Saturday morning?,35,resent,Emma studied on Saturday morning,Helen,0.88,stim,5026,4.2919833333333335
,Linda,51,bot_check,1,,,,DAVID,,0,2.0136833333333333
,Linda,51,bot_check,1,,,,DAVID,,0,2.0136833333333333
,Linda,51,bot_check,1,,,,LINDA,,0,2.0136833333333333
M,,51,Did Colby gossip that Courtney woke up early yesterday?,3,gossip,Courtney woke up early yesterday,Steven,0.6,stim,1469,2.0136833333333333
M,,51,Did Ray squeal that Mary planted a tree?,4,squeal,Mary planted a tree,Robert,0.46,stim,1176,2.0136833333333333
F,,51,Was Hendrick's car expensive?,5,,Hendrick's car was expensive,Sarah,0.62,control,4445,2.0136833333333333
F,,51,Did Kaitlin write that Fred missed the train?,6,write,Fred missed the train,Jennifer,0.39,stim,1858,2.0136833333333333
M,,51,Did Heather fantasize that Tony had a drink last night?,7,fantasize,Tony had a drink last night,Richard,0.86,stim,885,2.0136833333333333
M,,51,Is Justin embarrassed that Danielle painted her room?,8,embarrass,Danielle painted her room,Kenneth,0.54,stim,1049,2.0136833333333333
M,,51,Did Ben argue that Olivia left her job?,9,argue,Olivia left her job,Matthew,0.75,stim,871,2.0136833333333333
M,,51,Did Jerry suppose that Emily bought a car yesterday?,10,suppose,Emily bought a car yesterday,William,0.3,stim,792,2.0136833333333333
M,,51,Did Rebecca express that Connor fell from a tree?,11,express,Connor fell from a tree,Mark,0.57,stim,736,2.0136833333333333
F,,51,Is Noah charmed that Hannah called her parents?,12,charm,Hannah called her parents,Elizabeth,0.8,stim,847,2.0136833333333333
M,,51,Is Tim shocked that Molly attended a conference last week?,13,shock,Molly attended a conference last week,Thomas,0.38,stim,768,2.0136833333333333
M,,51,Did Ruth weep that Dylan argued with his parents?,14,weep,Dylan argued with his parents,David,0.62,stim,768,2.0136833333333333
F,,51,Did Nicole testify that Jason made a cake?,15,testify,Jason made a cake,Betty,0.78,stim,888,2.0136833333333333
F,,51,Did Eli scream that Emilia looked after the kids?,16,scream,Emilia looked after the kids,Nancy,0.37,stim,1792,2.0136833333333333
M,,51,Did Scott elaborate that Valerie booked the venue?,17,elaborate,Valerie booked the venue,Paul,0.54,stim,1831,2.0136833333333333
F,,51,Is Mary's aunt sick?,18,,Mary's aunt is sick,Kimberly,0.77,control,1720,2.0136833333333333
F,,51,Is Dennis distressed that Emma studied on Saturday morning?,19,distress,Emma studied on Saturday morning,Dorothy,0.27,stim,920,2.0136833333333333
M,,51,Is Amanda troubled that Julian cleaned his room?,20,trouble,Julian cleaned his room,Logan,0.51,stim,1479,2.0136833333333333
F,,51,Is Kevin promised that Natasha got a promotion?,21,promise,Natasha got a promotion,Susan,0.79,stim,1297,2.0136833333333333
M,,51,Is Zack coming to the meeting tomorrow?,22,,Zack is coming to the meeting tomorrow,George,0.27,control,1199,2.0136833333333333
F,,51,Did Patrick dictate that Josie went on vacation to France?,23,dictate,Josie went on vacation to France,Karen,0.53,stim,864,2.0136833333333333
F,,51,Did Melissa retract that Danny ate the last cupcake?,24,retract,Danny ate the last cupcake,Linda,0.86,stim,1952,2.0136833333333333
F,,51,Is Andrew fascinated that Isabella ate a steak on Sunday?,25,facinate,Isabella ate a steak on Sunday,Carol,0.64,stim,1007,2.0136833333333333
M,,51,Did Anna think that Jackson ran 10 miles?,26,think,Jackson ran 10 miles,James,0.19,stim,1520,2.0136833333333333
F,,51,Is Brian thrilled that Zoe calculated the tip?,27,thrill,Zoe calculated the tip,Donna,0.53,stim,1952,2.0136833333333333
F,,51,Is Vanessa good at math?,28,,Vanessa is good at math,Ashley,0.81,control,1699,2.0136833333333333
F,,51,Did Amy anticipate that Jon went out for dinner?,29,anticipate,Jon went out for dinner,Helen,0.63,stim,3293,2.0136833333333333
M,,51,Is Kathleen pained that Frank got a cat?,30,pain,Frank got a cat,Christopher,0.37,stim,16640,2.0136833333333333
F,,51,Is Cynthia excited that Louis went swimming?,31,excite,Louis went swimming,Lisa,0.67,stim,1936,2.0136833333333333
F,,51,Did Madison have a baby?,32,,Madison had a baby,Margaret,0.36,control,1174,2.0136833333333333
F,,51,Is Stephanie offended that Owen shoveled snow last winter?,33,offend,Owen shoveled snow last winter,Michelle,0.69,stim,2680,2.0136833333333333
F,,51,Did Todd play football in high school?,34,,Todd played football in high school,Sandra,0.37,control,1559,2.0136833333333333
F,,51,Did Sharon bet that Josh learned to ride a bike yesterday?,35,bet,Josh learned to ride a bike yesterday,Jessica,0.78,stim,888,2.0136833333333333
,Barbara,52,bot_check,1,,,,Barbara,,0,4.753966666666667
M,,52,Is Mary's aunt sick?,3,,Mary's aunt is sick,George,0,control,15774,4.753966666666667
F,,52,Did Todd play football in high school?,4,,Todd played football in high school,Susan,0.01,control,8703,4.753966666666667
F,,52,Did Manuel pray that Grace visited her sister?,5,pray,Grace visited her sister,Margaret,0.5,stim,13641,4.753966666666667
M,,52,Is Tim shocked that Sophia got a tattoo?,6,shock,Sophia got a tattoo,Logan,0.98,stim,5531,4.753966666666667
F,,52,Did Sharon simulate that Dylan argued with his parents?,7,simulate,Dylan argued with his parents,Linda,0.22,stim,12381,4.753966666666667
F,,52,Did Rebecca argue that Charley spilled the wine?,8,argue,Charley spilled the wine,Sandra,0.97,stim,7012,4.753966666666667
F,,52,Did Alan require that Mary planted a tree?,9,require,Mary planted a tree,Karen,0.54,stim,6770,4.753966666666667
F,,52,Did Noah squeal that Olivia left her job?,10,squeal,Olivia left her job,Michelle,0.92,stim,8321,4.753966666666667
F,,52,Is Zack coming to the meeting tomorrow?,11,,Zack is coming to the meeting tomorrow,Nancy,0.02,control,4356,4.753966666666667
M,,52,Is Stephanie thrilled that Jon went out for dinner?,12,thrill,Jon went out for dinner,Steven,0.99,stim,5735,4.753966666666667
F,,52,Was Hendrick's car expensive?,13,,Hendrick's car was expensive,Helen,0.02,control,4951,4.753966666666667
M,,52,Did Regina suppose that Owen shoveled snow last winter?,14,suppose,Owen shoveled snow last winter,James,0.29,stim,6870,4.753966666666667
F,,52,Did Scott write that Emily bought a car yesterday?,15,write,Emily bought a car yesterday,Jessica,0.18,stim,6834,4.753966666666667
M,,52,Is Brenda irritated that Allen went to the museum?,16,irritate,Allen went to the museum,Robert,0.99,stim,4291,4.753966666666667
F,,52,Is Colby tortured that Hannah called her parents?,17,torture,Hannah called her parents,Carol,0.93,stim,3480,4.753966666666667
F,,52,Did Laura ignore that Julian cleaned his room?,18,ignore,Julian cleaned his room,Ashley,0.97,stim,4349,4.753966666666667
F,,52,Did Kathleen love that Tony had a drink last night?,19,love,Tony had a drink last night,Dorothy,0.96,stim,6267,4.753966666666667
M,,52,Is Cynthia troubled that Jayden rented a car?,20,trouble,Jayden rented a car,Matthew,0.96,stim,23864,4.753966666666667
F,,52,Did Justin elaborate that Courtney woke up early yesterday?,21,elaborate,Courtney woke up early yesterday,Betty,0.87,stim,7945,4.753966666666667
M,,52,Did Eli scream that Molly attended a conference last week?,22,scream,Molly attended a conference last week,Christopher,0.94,stim,6925,4.753966666666667
F,,52,Did Anna think that Louis went swimming?,23,think,Louis went swimming,Kimberly,0.2,stim,7629,4.753966666666667
F,,52,Is Vanessa good at math?,24,,Vanessa is good at math,Lisa,0,control,2640,4.753966666666667
M,,52,Is Ben excited that Josie went on vacation to France?,25,excite,Josie went on vacation to France,Paul,0.99,stim,5478,4.753966666666667
M,,52,Is Andrew disgusted that Audrey went to a party?,26,disgust,Audrey went to a party,Thomas,0.95,stim,6018,4.753966666666667
M,,52,Did Madison have a baby?,27,,Madison had a baby,William,0.02,control,3963,4.753966666666667
M,,52,Did Francisco gossip that Valerie booked the venue?,28,gossip,Valerie booked the venue,David,0.94,stim,6450,4.753966666666667
F,,52,Did Amanda compute that Connor fell from a tree?,29,compute,Connor fell from a tree,Elizabeth,0.95,stim,4012,4.753966666666667
F,,52,Did Heather anticipate that Cole celebrated his friend's birthday?,30,anticipate,Cole celebrated his friend's birthday,Donna,0.95,stim,4863,4.753966666666667
M,,52,Is Brian distressed that Mia drank 2 cocktails last night?,31,distress,Mia drank 2 cocktails last night,Richard,0.95,stim,5171,4.753966666666667
M,,52,Did Dennis joke that Emilia looked after the kids?,32,joke,Emilia looked after the kids,Kenneth,0.15,stim,5613,4.753966666666667
F,,52,Did Jerry expose that Danielle painted her room?,33,expose,Danielle painted her room,Sarah,0.94,stim,5054,4.753966666666667
F,,52,Did Bobby fantasize that Isabella ate a steak on Sunday?,34,fantasize,Isabella ate a steak on Sunday,Jennifer,0.1,stim,4844,4.753966666666667
M,,52,Did Kevin dictate that Zoe calculated the tip?,35,dictate,Zoe calculated the tip,Mark,0.68,stim,5758,4.753966666666667
,Patricia,53,bot_check,1,,,,Patricia,,0,4.741833333333333
M,,53,Is Justin fascinated that Molly attended a conference last week?,3,facinate,Molly attended a conference last week,Logan,0.9,stim,14559,4.741833333333333
F,,53,Is Francisco insulted that Grace visited her sister?,4,insult,Grace visited her sister,Carol,0.92,stim,8794,4.741833333333333
F,,53,Did Dennis elaborate that Emma studied on Saturday morning?,5,elaborate,Emma studied on Saturday morning,Linda,0.27,stim,13904,4.741833333333333
F,,53,Is Scott amused that Natasha got a promotion?,6,amuse,Natasha got a promotion,Sandra,0.9,stim,5755,4.741833333333333
M,,53,Is Zack coming to the meeting tomorrow?,7,,Zack is coming to the meeting tomorrow,Richard,0.02,control,9615,4.741833333333333
M,,53,Was Hendrick's car expensive?,8,,Hendrick's car was expensive,William,0.13,control,5439,4.741833333333333
M,,53,Did Stephanie cringe that Fred missed the train?,9,cringe,Fred missed the train,Kenneth,0.93,stim,6189,4.741833333333333
F,,53,Is Mary's aunt sick?,10,,Mary's aunt is sick,Karen,0.05,control,4283,4.741833333333333
F,,53,Did Jerry tweet that Danielle painted her room?,11,tweet,Danielle painted her room,Susan,0.11,stim,9285,4.741833333333333
F,,53,Did Nicole envision that Tony had a drink last night?,12,envision,Tony had a drink last night,Dorothy,0.13,stim,6943,4.741833333333333
F,,53,Did Alan require that Sophia got a tattoo?,13,require,Sophia got a tattoo,Margaret,0.82,stim,9118,4.741833333333333
F,,53,Did Rebecca murmur that Jayden rented a car?,14,murmur,Jayden rented a car,Sarah,0.11,stim,4954,4.741833333333333
M,,53,Did Brenda scream that Owen shoveled snow last winter?,15,scream,Owen shoveled snow last winter,George,0.09,stim,10780,4.741833333333333
F,,53,Did Colby write that Josie went on vacation to France?,16,write,Josie went on vacation to France,Donna,0.15,stim,9292,4.741833333333333
M,,53,Did Ben celebrate that Emilia looked after the kids?,17,celebrate,Emilia looked after the kids,Steven,0.92,stim,7482,4.741833333333333
M,,53,Did Amy whine that Jackson ran 10 miles?,18,whine,Jackson ran 10 miles,Mark,0.71,stim,12757,4.741833333333333
F,,53,Is Kevin aggravated that Valerie booked the venue?,19,aggravate,Valerie booked the venue,Ashley,0.94,stim,5123,4.741833333333333
F,,53,Did Anna shout that Danny ate the last cupcake?,20,shout,Danny ate the last cupcake,Elizabeth,0.55,stim,9284,4.741833333333333
F,,53,Did Shirley express that Jon went out for dinner?,21,express,Jon went out for dinner,Jessica,0.9,stim,7155,4.741833333333333
M,,53,Did Madison have a baby?,22,,Madison had a baby,Thomas,0.04,control,4866,4.741833333333333
M,,53,Did Ruth testify that Dylan argued with his parents?,23,testify,Dylan argued with his parents,David,0.32,stim,7245,4.741833333333333
M,,53,Is Brian offended that Zoe calculated the tip?,24,offend,Zoe calculated the tip,Christopher,0.94,stim,5188,4.741833333333333
F,,53,Is Kaitlin charmed that Josh learned to ride a bike yesterday?,25,charm,Josh learned to ride a bike yesterday,Nancy,0.96,stim,5575,4.741833333333333
F,,53,Did Todd play football in high school?,26,,Todd played football in high school,Betty,0.02,control,4172,4.741833333333333
F,,53,Is Vanessa good at math?,27,,Vanessa is good at math,Lisa,0.02,control,4228,4.741833333333333
F,,53,Did Heather verify that Louis went swimming?,28,verify,Louis went swimming,Michelle,0.14,stim,5410,4.741833333333333
M,,53,Did Amanda gossip that Julian cleaned his room?,29,gossip,Julian cleaned his room,Paul,0.29,stim,7056,4.741833333333333
M,,53,Did Tim think that Courtney woke up early yesterday?,30,think,Courtney woke up early yesterday,Matthew,0.22,stim,7415,4.741833333333333
F,,53,Did Cynthia weep that Allen went to the museum?,31,weep,Allen went to the museum,Kimberly,0.38,stim,6363,4.741833333333333
F,,53,Is Patrick alarmed that Isabella ate a steak on Sunday?,32,alarm,Isabella ate a steak on Sunday,Helen,0.95,stim,4182,4.741833333333333
M,,53,Did Catherine joke that Frank got a cat?,33,joke,Frank got a cat,Robert,0.19,stim,4723,4.741833333333333
F,,53,Is Regina disgusted that Connor fell from a tree?,34,disgust,Connor fell from a tree,Jennifer,0.93,stim,4455,4.741833333333333
M,,53,Did Kathleen suppose that Cole celebrated his friend's birthday?,35,suppose,Cole celebrated his friend's birthday,James,0.15,stim,8126,4.741833333333333
,Linda,54,bot_check,1,,,,linda,,0,1.9513166666666666
M,,54,Did Kevin require that Courtney woke up early yesterday?,3,require,Courtney woke up early yesterday,David,0.53,stim,2419,1.9513166666666666
M,,54,Did Todd play football in high school?,4,,Todd played football in high school,James,0.49,control,1719,1.9513166666666666
M,,54,Is Justin aggravated that Audrey went to a party?,5,aggravate,Audrey went to a party,Paul,0.63,stim,1169,1.9513166666666666
F,,54,Did Shirley shout that Julian cleaned his room?,6,shout,Julian cleaned his room,Carol,0.64,stim,1671,1.9513166666666666
F,,54,Did Melissa weep that Danny ate the last cupcake?,7,weep,Danny ate the last cupcake,Helen,0.61,stim,1088,1.9513166666666666
F,,54,Is Zack coming to the meeting tomorrow?,8,,Zack is coming to the meeting tomorrow,Linda,0.06,control,8296,1.9513166666666666
F,,54,Did Brenda ignore that Cole celebrated his friend's birthday?,9,ignore,Cole celebrated his friend's birthday,Elizabeth,0.09,stim,3655,1.9513166666666666
M,,54,Did Manuel whine that Natasha got a promotion?,10,whine,Natasha got a promotion,George,0.03,stim,2337,1.9513166666666666
F,,54,Did Dennis squeal that Emma studied on Saturday morning?,11,squeal,Emma studied on Saturday morning,Michelle,0.11,stim,2605,1.9513166666666666
F,,54,Did Ruth celebrate that Charley spilled the wine?,12,celebrate,Charley spilled the wine,Sarah,0.1,stim,2177,1.9513166666666666
F,,54,Did Anna express that Tony had a drink last night?,13,express,Tony had a drink last night,Sandra,0.08,stim,2168,1.9513166666666666
F,,54,Did Brian suppose that Mary planted a tree?,14,suppose,Mary planted a tree,Dorothy,0.03,stim,1483,1.9513166666666666
F,,54,Did Patrick think that Olivia left her job?,15,think,Olivia left her job,Jessica,0.1,stim,1954,1.9513166666666666
M,,54,Did Amy pray that Lucas bought new shoes?,16,pray,Lucas bought new shoes,Thomas,0.06,stim,1353,1.9513166666666666
M,,54,Did Scott fantasize that Valerie booked the venue?,17,fantasize,Valerie booked the venue,Robert,0.08,stim,1251,1.9513166666666666
F,,54,Is Bobby disgusted that Molly attended a conference last week?,18,disgust,Molly attended a conference last week,Margaret,0.04,stim,2590,1.9513166666666666
M,,54,Is Cynthia embarrassed that Josh learned to ride a bike yesterday?,19,embarrass,Josh learned to ride a bike yesterday,William,0.09,stim,2586,1.9513166666666666
M,,54,Is Mary's aunt sick?,20,,Mary's aunt is sick,Logan,0.09,control,2389,1.9513166666666666
F,,54,Did Ben elaborate that Danielle painted her room?,21,elaborate,Danielle painted her room,Jennifer,0.04,stim,2652,1.9513166666666666
F,,54,Is Amanda charmed that Connor fell from a tree?,22,charm,Connor fell from a tree,Nancy,0.03,stim,2074,1.9513166666666666
M,,54,Is Vanessa good at math?,23,,Vanessa is good at math,Richard,0.05,control,3019,1.9513166666666666
F,,54,Did Alan joke that Mia drank 2 cocktails last night?,24,joke,Mia drank 2 cocktails last night,Betty,0.01,stim,2022,1.9513166666666666
F,,54,Did Eli envision that Emily bought a car yesterday?,25,envision,Emily bought a car yesterday,Ashley,0.05,stim,1234,1.9513166666666666
M,,54,Was Hendrick's car expensive?,26,,Hendrick's car was expensive,Steven,0.07,control,2254,1.9513166666666666
F,,54,Did Noah dictate that Hannah called her parents?,27,dictate,Hannah called her parents,Karen,0.03,stim,2570,1.9513166666666666
F,,54,Is Francisco irritated that Zoe calculated the tip?,28,irritate,Zoe calculated the tip,Lisa,0.03,stim,1538,1.9513166666666666
M,,54,Is Jerry shocked that Grace visited her sister?,29,shock,Grace visited her sister,Matthew,0.03,stim,1634,1.9513166666666666
F,,54,Is Catherine pained that Owen shoveled snow last winter?,30,pain,Owen shoveled snow last winter,Kimberly,0.02,stim,1703,1.9513166666666666
M,,54,Did Madison have a baby?,31,,Madison had a baby,Christopher,0.01,control,2320,1.9513166666666666
M,,54,Is Laura surprised that Dylan argued with his parents?,32,surprise,Dylan argued with his parents,Mark,0.03,stim,1887,1.9513166666666666
F,,54,Is Stephanie troubled that Allen went to the museum?,33,trouble,Allen went to the museum,Susan,0.02,stim,2521,1.9513166666666666
M,,54,Did Regina testify that Jackson ran 10 miles?,34,testify,Jackson ran 10 miles,Kenneth,0.02,stim,2037,1.9513166666666666
F,,54,Did Ray retract that Sophia got a tattoo?,35,retract,Sophia got a tattoo,Donna,0.01,stim,1519,1.9513166666666666
,Susan,55,bot_check,1,,,,susan,,0,7.029316666666666
M,,55,Did Heather whine that Louis went swimming?,3,whine,Louis went swimming,Robert,0.96,stim,13094,7.029316666666666
M,,55,Did Stephanie suppose that Josh learned to ride a bike yesterday?,4,suppose,Josh learned to ride a bike yesterday,George,0.02,stim,242786,7.029316666666666
F,,55,Did Scott dictate that Hannah called her parents?,5,dictate,Hannah called her parents,Jennifer,0.46,stim,8036,7.029316666666666
F,,55,Is Regina offended that Dylan argued with his parents?,6,offend,Dylan argued with his parents,Helen,0.99,stim,9597,7.029316666666666
F,,55,Did Noah testify that Olivia left her job?,7,testify,Olivia left her job,Linda,0.46,stim,6332,7.029316666666666
M,,55,Is Mary's aunt sick?,8,,Mary's aunt is sick,Christopher,0.05,control,4958,7.029316666666666
F,,55,Did Eli celebrate that Sophia got a tattoo?,9,celebrate,Sophia got a tattoo,Susan,0.96,stim,5349,7.029316666666666
M,,55,Did Patrick love that Grace visited her sister?,10,love,Grace visited her sister,Thomas,0.98,stim,5436,7.029316666666666
M,,55,Is Tim shocked that Josie went on vacation to France?,11,shock,Josie went on vacation to France,William,0.97,stim,3376,7.029316666666666
M,,55,Did Anna verify that Jon went out for dinner?,12,verify,Jon went out for dinner,Kenneth,0.05,stim,2213,7.029316666666666
F,,55,Did Amy feel that Charley spilled the wine?,13,feel,Charley spilled the wine,Donna,0.08,stim,1786,7.029316666666666
M,,55,Is Ruth distressed that Julian cleaned his room?,14,distress,Julian cleaned his room,James,0.96,stim,2771,7.029316666666666
F,,55,Is Cynthia tortured that Jackson ran 10 miles?,15,torture,Jackson ran 10 miles,Kimberly,0.94,stim,4635,7.029316666666666
F,,55,Is Kathleen disgusted that Danny ate the last cupcake?,16,disgust,Danny ate the last cupcake,Elizabeth,0.93,stim,3264,7.029316666666666
F,,55,Did Andrew squeal that Molly attended a conference last week?,17,squeal,Molly attended a conference last week,Carol,0.92,stim,3221,7.029316666666666
F,,55,Did Catherine think that Owen shoveled snow last winter?,18,think,Owen shoveled snow last winter,Ashley,0.05,stim,5232,7.029316666666666
M,,55,Did Madison have a baby?,19,,Madison had a baby,David,0.06,control,13044,7.029316666666666
F,,55,Did Todd play football in high school?,20,,Todd played football in high school,Karen,0.06,control,11992,7.029316666666666
F,,55,Was Hendrick's car expensive?,21,,Hendrick's car was expensive,Jessica,0.16,control,3120,7.029316666666666
F,,55,Did Francisco murmur that Emma studied on Saturday morning?,22,murmur,Emma studied on Saturday morning,Nancy,0.14,stim,4145,7.029316666666666
M,,55,Did Melissa scream that Jason made a cake?,23,scream,Jason made a cake,Logan,0.04,stim,2756,7.029316666666666
M,,55,Did Colby joke that Emily bought a car yesterday?,24,joke,Emily bought a car yesterday,Steven,0.49,stim,3659,7.029316666666666
F,,55,Is Vanessa good at math?,25,,Vanessa is good at math,Betty,0.1,control,1939,7.029316666666666
F,,55,Did Justin expose that Isabella ate a steak on Sunday?,26,expose,Isabella ate a steak on Sunday,Margaret,0.1,stim,2449,7.029316666666666
F,,55,Is Ray aggravated that Mia drank 2 cocktails last night?,27,aggravate,Mia drank 2 cocktails last night,Dorothy,0.86,stim,2770,7.029316666666666
M,,55,Is Dennis excited that Mary planted a tree?,28,excite,Mary planted a tree,Matthew,0.93,stim,4943,7.029316666666666
F,,55,Is Kaitlin charmed that Fred missed the train?,29,charm,Fred missed the train,Michelle,0.89,stim,2022,7.029316666666666
F,,55,Did Brian elaborate that Courtney woke up early yesterday?,30,elaborate,Courtney woke up early yesterday,Sarah,0.27,stim,5900,7.029316666666666
M,,55,Is Zack coming to the meeting tomorrow?,31,,Zack is coming to the meeting tomorrow,Richard,0,control,7277,7.029316666666666
M,,55,Did Bobby cringe that Valerie booked the venue?,32,cringe,Valerie booked the venue,Mark,0.92,stim,4070,7.029316666666666
F,,55,Did Jerry write that Audrey went to a party?,33,write,Audrey went to a party,Lisa,0.48,stim,3036,7.029316666666666
M,,55,Did Shirley gossip that Cole celebrated his friend's birthday?,34,gossip,Cole celebrated his friend's birthday,Paul,0.64,stim,4227,7.029316666666666
